symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
601816.SH,京沪高铁,5.14,908387.47,466.91115957999995,0.0,3,200.0,0.0,2,194.7442738694199,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,0,1,False,True,-11.096829477293568,-76.48456057007124
601878.SH,浙商证券,10.95,131145.57,143.60439915,0.0,3,164.90159687300957,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-62.48976248976188,-177.34686480608943
601966.SH,玲珑轮胎,14.89,98152.34,146.14883426,0.0,3,200.0,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,1,0,1,False,True,-51.39409990436248,-143.14371257485035
601995.SH,中金公司,34.89,151786.44,529.5828891599999,120.06026214798702,3,120.06026214798702,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-131.86139221097736,-160.08924587237772
603195.SH,公牛集团,43.32,28552.47,123.68930004,0.0,1,134.4947391662771,0.0,2,178.75366715247955,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,0,True,False,-23.00801508722139,-91.53984114783482
603288.SH,海天味业,36.87,66069.46,243.59809901999998,0.0,2,130.96708163008722,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,1,True,True,-67.8134648542439,-130.86043360433627
603379.SH,三美股份,52.06,39455.61,205.40590566,120.01873137830158,4,120.01873137830158,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-83.65740218386055,-161.56104628994134
603392.SH,万泰生物,47.63,40297.98,191.93927874000002,65.6432655862369,0,0.0,176.6330466959266,3,176.6330466959266,0.0,0,0,0.0,0,0,False,True,False,False,False,False,2,0,2,2,True,True,-119.35121827594908,-210.80357771674045
603477.SH,巨星农牧,17.34,70832.8,122.82407520000001,123.96430231071336,1,123.96430231071336,200.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,1,0,True,False,-115.18987341772073,-98.69294290490889
603529.SH,爱玛科技,30.73,34787.0,106.900451,0.0,0,0.0,0.0,2,185.2474314283593,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-41.40227183705424,-112.04956083224802
603658.SH,安图生物,36.07,34092.56,122.97186391999999,132.9437099556276,3,132.9437099556276,200.0,2,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,0,1,False,True,-102.12596588023746,-162.2334082586718
603678.SH,火炬电子,30.71,59828.29,183.73267859,0.0,0,0.0,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-65.5727398465989,-116.75047269904951
603887.SH,城地香江,15.0,84582.2,126.8733,0.0,0,0.0,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,89.52463936489477,-75.01124330512283
688009.SH,中国通号,5.24,219249.33,114.88664892,0.0,4,136.08731140602438,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-35.08920985556516,-111.20462914255553
688036.SH,传音控股,76.08,534115.88,4063.55361504,0.0,0,0.0,0.0,3,163.45124276468673,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,320.0996490978915,-39.19958257946914
688050.SH,爱博医疗,60.15,18672.73,112.31647094999998,0.0,0,0.0,0.0,2,194.84686716188924,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-62.211701048359835,-107.75481448568752
688169.SH,石头科技,154.07,26472.66,407.86427262,0.0,3,190.21975711729112,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,1,0,True,False,-80.40308860096849,-91.49010839948113
688187.SH,时代电气,48.49,44677.82,216.64274918,0.0,3,145.45205070808342,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,0,True,False,-105.24782466091722,-90.03692583773312
688475.SH,萤石网络,29.82,35480.67,105.80335794,0.0,1,102.49269758489133,0.0,2,200.00000000000003,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,1,1,True,True,-24.5085045283856,-107.4806602148519
688608.SH,恒玄科技,237.93,61436.27,1461.75317211,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,139.15540373285822,-45.82624442554072
688596.SH,正帆科技,28.86,46940.68,135.47080248,0.0,0,0.0,0.0,3,151.16706469821747,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,1,False,True,-22.320117474302865,-97.23291714793834
688631.SH,莱斯信息,73.32,21637.09,158.64314388,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,1,False,True,125.11209362159144,-61.236724351717086
920489.BJ,佳先股份,19.42,59584.48,115.71306016000001,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,1,1,True,True,-36.95579926886007,-101.32169073901169
920982.BJ,锦波生物,223.43,11281.92,252.07193856,0.0,2,188.9826233657877,0.0,4,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,1,1,1,True,True,-27.484892179576644,-100.03409233640168
